Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Tamradhwaj Sahu,570687,185371,45.4%,Indian National Congress
2,Saroj Pandey,553839,185371,44.0%,Bharatiya Janta Party
3,Vishwa Ratna Sinha,17454,99,1.4%,Aam Aadmi Party
4,Arun Joshi,16529,99,1.3%,Independent
5,Munna Chandrakar,15600,99,1.2%,Bahujan Samaj Party
6,Aatma Ram Sahu,10371,90,0.8%,Socialist Unity Centre Of India (COMMUNIST)
7,Kshitij Kumar Shambharkar,8120,90,0.6%,Republican Paksha (Khoripa)
8,Alfred Vikas Louise,7098,90,0.6%,Independent
9,Shrikant Shah,5340,90,0.4%,Janata Dal (United)
10,Sheema Rahangdale,5104,90,0.4%,Ambedkarite Party Of India
11,Subodh Kumar Gupta,4711,90,0.4%,Republican Party Of India (A)
12,Jinendra Ghritlahare,4537,90,0.4%,Independent
13,Shailendra Banjare (SHAKTIPURTA),2903,90,0.2%,Shakti Sena (Bharat Desh)
14,Hiralal Annant,2901,90,0.2%,Independent
15,Sahetru Singh,2736,90,0.2%,Independent
16,Jai Prakash Nair,2560,90,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
17,Engg. Chandraprakash Mandle,2301,90,0.2%,Independent
18,A.K.Mohan,2286,90,0.2%,All India Trinamool Congress
19,Mannu Lal Parganiha,2159,90,0.2%,Chhattisgarh Swabhiman Manch
20,Sarju Prasad Shukla,2114,90,0.2%,Independent
21,Bharat Bhushan Pandey,1427,90,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
22,Adhiwakta Narendra Gupta,1413,90,0.1%,Bhrashtachar Mukti Morcha
23,Shitkaran Mahilvar,1225,90,0.1%,Independent
24,Diwakar Bairagi,1150,90,0.1%,Independent
25,Radha Bai Yadav,1011,90,0.1%,Independent
26,Baldau Prasad Sahu,859,90,0.1%,Independent
