Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Krishan Pal,652516,173,57.7%,Bharatiya Janta Party
2,Avtar Singh Bhadana,185643,173,16.4%,Indian National Congress
3,R K Anand,132472,132,11.7%,Indian National Lok Dal
4,Purshotam Dagar,67437,94,6.0%,Aam Aadmi Party
5,Pt. Rajender Sharma,66000,94,5.8%,Bahujan Samaj Party
6,Hamid Khan,2762,66,0.2%,Hindustan Kranti Dal
7,Nanak Chand,2551,66,0.2%,Independent
8,Dr. Kshetra Pal Singh,1943,66,0.2%,Independent
9,Kheme Thakur,1940,66,0.2%,Samajwadi Party
10,Mohd. Mukim,1735,66,0.2%,National Loktantrik Party
11,Ravinder Bhati,1689,66,0.1%,Akhil Bharat Hindu Mahasabha
12,Sanjay Maurya,1098,66,0.1%,Independent
13,Sukhveer,1082,66,0.1%,Rashtriya Bahujan Congress Party
14,Advocate Kamal Chand Arya,967,66,0.1%,Bahujan Mukti Party
15,Nirmala,894,66,0.1%,Janata Dal (United)
16,Chaudhary Daya Chand,711,66,0.1%,Bhartiya Shakti Chetna Party
17,Khush Dil Sehgal (KAPOOR),685,66,0.1%,Akhil Bharatiya Hind Kranti Party
18,Aherwan Dharmender Rawat,664,66,0.1%,Independent
19,Laxman,657,66,0.1%,Independent
20,Mandheer Singh Maan,644,66,0.1%,Independent
21,Kusum Kumari,620,66,0.1%,All India Peoples' Front (Radical)
22,Shushila,525,66,0.0%,Independent
23,Deepak Gaur,479,66,0.0%,Aarakshan Virodhi Party
24,Mukesh Kumar Singh,442,66,0.0%,Independent
25,Lalit Mittal,420,66,0.0%,Independent
26,Rajender,409,66,0.0%,Independent
27,Vijay Raj,407,66,0.0%,Independent
