Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sher Singh Ghubaya,487932,43200,44.1%,Shiromani Akali Dal
2,Sunil Jakhar,456512,43200,41.3%,Indian National Congress
3,Satnam Paul Kamboj,113412,400,10.3%,Aam Aadmi Party
4,Ram Kumar Parjapat,22274,200,2.0%,Bahujan Samaj Party
5,Dhian Singh Mand,3655,200,0.3%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
6,Raj Gill,3311,200,0.3%,Independent
7,Manoj Kumar Monga,1896,200,0.2%,Independent
8,Panjab Singh Katwal,1759,200,0.2%,Independent
9,Rajinder Bhatheja,1546,200,0.1%,Independent
10,Chanan Singh Wattu,1237,200,0.1%,Independent
11,Gurjant Singh,1088,200,0.1%,Independent
12,Paramjeet Singh Desal,976,200,0.1%,Independent
13,Swaran Singh,766,200,0.1%,Independent
14,Sampuran Singh,682,200,0.1%,Independent
15,Baljinder Singh,681,200,0.1%,Bharatiya Gaon Taj Dal
