Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kirti Vardhan Singh,359643,843,41.2%,Bharatiya Janta Party
2,Nandita Shukla,199227,843,22.8%,Samajwadi Party
3,Akbar Ahmad Dumpy,116178,318,13.3%,Bahujan Samaj Party
4,Beni Prasad Verma,102254,275,11.7%,Indian National Congress
5,Masood Alam Khan,42744,152,4.9%,Peace Party
6,Om Prakash,18450,118,2.1%,Communist Party Of India
7,Tilak Ram,5374,99,0.6%,Independent
8,Satya Prakash,4748,99,0.5%,Shiv Sena
9,Mashooq Ahmad,3358,99,0.4%,Aam Aadmi Party
10,Ajay Kumar Prabhakar,3200,99,0.4%,Bahujan Mukti Party
11,Mahesh Kumar,2555,99,0.3%,Janvadi Party(Socialist)
12,Brijnandan Tiwari,2395,99,0.3%,Independent
13,Rajesh Kumar Maurya,2199,99,0.3%,Socialist Party (India)
14,Prem Kumar,1900,99,0.2%,Most Backward Classes Of India
15,Rajendra Prasad,1519,99,0.2%,Samyak Parivartan Party
