Position,Candidate Name,Votes,MinSample,Votes %,Party
1,H.D. Devegowda,509841,4400,44.4%,Janata Dal (Secular)
2,Manju. A.,409379,4400,35.7%,Indian National Congress
3,C.H. Vijayashankar,165688,400,14.4%,Bharatiya Janta Party
4,A.P. Ahamad,18905,200,1.6%,Bahujan Samaj Party
5,Santhosh Mohan,8018,200,0.7%,Aam Aadmi Party
6,H.D. Revanna,6798,200,0.6%,Karunaadu Party
7,S.B. Rajegowda,3841,200,0.3%,Independent
8,Manjunatha,3536,200,0.3%,Bharatiya Dr. B.R.Ambedkar Janta Party
9,Rudregowda,3262,200,0.3%,Jai Vijaya Bharathi Party
10,M.Mahesh (HARSHA),3062,200,0.3%,Independent
11,S.N. Mallappa,2388,200,0.2%,Independent
12,T.D. Jagadeesha,2083,200,0.2%,Independent
13,Javaraiah,1581,200,0.1%,Independent
14,Dr. Banuprakash. K,1456,200,0.1%,Independent
