Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Danve Raosaheb Dadarao,591428,897,55.5%,Bharatiya Janta Party
2,Autade Vilas Keshavrao,384630,897,36.1%,Indian National Congress
3,Dr. Wankhede Sharadchandra Ganapatrao,23719,78,2.2%,Bahujan Samaj Party
4,M. Javed A. Wahab,7704,69,0.7%,Independent
5,Nade Dnyaneshwar Dagduji,6953,69,0.7%,Independent
6,Babasaheb Patil Shinde,6547,69,0.6%,Independent
7,Dilip Datta Mhaske,4622,69,0.4%,Aam Aadmi Party
8,Vitthal Sahebrao Shelke,4587,69,0.4%,Ambedkarite Party Of India
9,Kakarwal Pratapsing Mahajan,4237,69,0.4%,Independent
10,Agrawal Kunjbihari Jugalkishor,3469,69,0.3%,Samajwadi Party
11,Rambhau Haribhau Ugle,3283,69,0.3%,Rashtriya Sant Sandesh Party
12,Karande Ganesh Navnathrao,2874,69,0.3%,Independent
13,Mirza Afsar Beg,2467,69,0.2%,Welfare Party Of India
14,Rathod Ramesh Lalsing,2462,69,0.2%,Bahujan Mukti Party
15,Unge Rambhau Kundlik,2240,69,0.2%,Independent
16,Ad. Mahesh Vitthalrao Kharat,1967,69,0.2%,Independent
17,Ashok Vitthal Sonwane,1894,69,0.2%,Independent
18,Sanjay Nivrutti Hivrale,1821,69,0.2%,Ambedkar National Congress
19,Sayyad Husain Ahmad,1655,69,0.2%,Independent
20,Mohammad Asad Shaikh Ahemad,1342,69,0.1%,Minorities Democratic Party
21,Rambhau Vitthal Chinchore,1120,69,0.1%,Independent
22,Sapkal Lilabai Dharma,1110,69,0.1%,Independent
