Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Shanta Kumar,456163,800,57.1%,Bharatiya Janta Party
2,Chander Kumar,286091,800,35.8%,Indian National Congress
3,Dr. Rajan Sushant,24430,200,3.1%,Aam Aadmi Party
4,Lal Hussain,5949,200,0.7%,Bahujan Samaj Party
5,Bhupinder Mehra,5585,200,0.7%,Independent
6,Prem Chand Vishvakarma,4106,200,0.5%,Independent
7,Arti Soni,3757,200,0.5%,Shiv Sena
8,Dr. Atul Thakur Bharmori,1133,200,0.1%,Independent
9,Dhani Ram,1085,200,0.1%,Independent
10,Baldev Raj,997,200,0.1%,Himachal Swabhiman Party
11,Parvesh Yadav,808,200,0.1%,Samajwadi Party
12,Raman Kumar,637,200,0.1%,Bahujan Mukti Party
