Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vinod Kumar Sonkar,331593,14000,36.4%,Bharatiya Janta Party
2,Shailendra Kumar,288746,14000,31.7%,Samajwadi Party
3,Suresh Pasi,201196,1400,22.1%,Bahujan Samaj Party
4,Mahendra Kumar,31904,200,3.5%,Indian National Congress
5,Mohan Lal,9180,200,1.0%,Independent
6,Shripal,7341,200,0.8%,Bahujan Mukti Party
7,Malti Devi,6548,200,0.7%,Rashtriya Samanta Dal
8,Rajendra Sonkar,6386,200,0.7%,Lok Dal
9,Beena Rani,4957,200,0.5%,Independent
10,Swarnalata Suman,3692,200,0.4%,Aam Aadmi Party
11,Chheddoo,3340,200,0.4%,Independent
