Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ranjit Singh Brahmpura,467332,3600,44.9%,Shiromani Akali Dal
2,Harminder Singh Gill,366763,3600,35.2%,Indian National Congress
3,Baldeep Singh,144521,400,13.9%,Aam Aadmi Party
4,Simranjit Singh Mann,13990,200,1.3%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
5,Gurnam Singh,9307,200,0.9%,Independent
6,Sucha Singh Mann,8491,200,0.8%,Bahujan Samaj Party
7,Stephen Masih,4329,200,0.4%,Sarvajan Samaj Party (D)
8,Balwinder Singh,3804,200,0.4%,Independent
9,Bhupinder Singh,3282,200,0.3%,Independent
10,Jasbir Singh,3114,200,0.3%,Independent
11,Balwant Singh Sultanpuri,2930,200,0.3%,Bahujan Samaj Party (AMBEDKAR)
12,Mahinder Singh Hamira,1720,200,0.2%,Independent
13,Sukhchain Chand,1313,200,0.1%,Democratic Bharatiya Samaj Party
14,Gurpal Singh,1182,200,0.1%,All India Mazdoor Party (Rangreta)
15,Sukhwant Singh,1053,200,0.1%,Independent
16,Kawaljit Singh,962,200,0.1%,Independent
17,Sukhdev Singh Chohan,801,200,0.1%,Independent
