Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Choudhary Mahboob Ali Kaiser,313806,4000,35.0%,Lok Jan Shakti Party
2,Krishna Kumari Yadav,237803,4000,26.5%,Rashtriya Janata Dal
3,Dinesh Chandra Yadav,220316,2600,24.6%,Janata Dal (United)
4,Jagdish Chandra Vasu,24490,200,2.7%,Communist Party Of India (MARXIST)
5,Umesh Chandra Bharti,14926,200,1.7%,Independent
6,Dr. Swami Vivekanand,14491,200,1.6%,Aam Aadmi Party
7,Satish Prasad Singh,13888,200,1.5%,Independent
8,Makkhan Sah,6651,200,0.7%,Samajwadi Janata Party (RASHTRIYA)
9,Rajesh Kumar,6480,200,0.7%,Bahujan Samaj Party
10,Rajeev Ranjan,5722,200,0.6%,Lok Dal
11,Brahamdeo Mukhia,5215,200,0.6%,Rashtriya Naujawan Dal
12,Ganesh Mukhiya Nishad,4522,200,0.5%,Sarvajan Kalyan Loktantrik Party
13,Tej Bahadur Singh,4053,200,0.5%,Proutist Sarva Samaj
