Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ponguleti Srinivasa Reddy,421957,276400,35.7%,Yuvajana Sramika Rythu Congress Party
2,Nama Nageswara Rao,409983,276400,34.7%,Telugu Desam
3,Kankanala Narayana,187653,800,15.9%,Communist Party Of India
4,Budan Baig Shaik,89063,400,7.5%,Telangana Rashtra Samithi
5,Lingala Ravi Kumar,9454,200,0.8%,Independent
6,Gokinepalli Venkateswara Rao,8053,200,0.7%,Independent
7,Bachala Laxmaiah,6494,200,0.5%,Independent
8,Mokalla Ramesh,5386,200,0.5%,Independent
9,Kaki Bhaskar,5354,200,0.5%,Independent
10,Nagarjuna Cherukuru,4999,200,0.4%,Jai Samaikyandhra Party
11,Dodda Ram Babu,4757,200,0.4%,Bahujan Samaj Party
12,Nagireddy Raji Reddy,4480,200,0.4%,Independent
13,Medarametla Rama Rao,4135,200,0.3%,Pyramid Party Of India
14,Banoth Kishan Nayak,1611,200,0.1%,Independent
15,Gugulothu Sarvan,1488,200,0.1%,Independent
16,Gugulothu Ranjith Kumar,1432,200,0.1%,Independent
17,Banoth Laxma Naik,1338,200,0.1%,Independent
18,Ramesh Kommu,1267,200,0.1%,Independent
19,Mudige Nageswara Rao,1194,200,0.1%,Independent
20,Jerripothula Srinivas,1116,200,0.1%,Independent
21,Kalthi Venkateswarlu,1059,200,0.1%,Independent
22,Ramu Kandula,1019,200,0.1%,Independent
23,Kalthi Ramulamma,980,200,0.1%,Independent
24,Busireddy Shankar Reddy,963,200,0.1%,Independent
25,Kanakam Tirumala Rao,916,200,0.1%,Independent
26,Sanapa Pommaiah,886,200,0.1%,Independent
27,Marikanti Vasudasu,877,200,0.1%,Independent
