Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Karia Munda,269185,1752,36.5%,Bharatiya Janta Party
2,Anosh Ekka,176937,1752,24.0%,Jharkhand Party
3,Kali Charan Munda,147017,930,19.9%,Indian National Congress
4,Neil Tirkey,27158,165,3.7%,Ajsu Party
5,Basant Kumar Longa,24514,157,3.3%,Jharkhand Vikas Morcha (Prajatantrik)
6,Mahadev Ravinath Pahan,13566,133,1.8%,Rashtriya Deshaj Party
7,Dayamani Barla,11822,133,1.6%,Aam Aadmi Party
8,Jaitun Tuti,11364,122,1.5%,Independent
9,Jitendra Manki Alias Jitendra Prasad Manki,6596,122,0.9%,Independent
10,Subodh Purty,6407,122,0.9%,Bahujan Samaj Party
11,Kalyan Nag,4958,109,0.7%,Independent
12,Buday Munda,4841,109,0.7%,Akhil Bhartiya Jharkhand Party
13,Nitima Bodra Bari,4425,109,0.6%,Samajwadi Party
14,Asrita Tuti,4349,109,0.6%,Independent
