Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Karadi Sanganna Amarappa,486383,34000,48.3%,Bharatiya Janta Party
2,Basavaraj Hitnal,453969,34000,45.1%,Indian National Congress
3,Syed Arif,9529,200,0.9%,Bahujan Samaj Party
4,Suresh,8292,200,0.8%,Independent
5,V. Govinda,6300,200,0.6%,Independent
6,B.Manohara Hanumantappa,4433,200,0.4%,Independent
7,Shivakumar Navalisiddappa Tontapur,3425,200,0.3%,Aam Aadmi Party
8,Nagappa. G. Karatagi,2894,200,0.3%,Independent
9,Govindhareddy Pacharalli,2839,200,0.3%,Independent
10,Com I:- D H Pujar,2636,200,0.3%,Communist Party Of India (Marxist-Leninist) Red Star
11,Thimmappa Uppar,2459,200,0.2%,Bharatiya Dr. B.R.Ambedkar Janta Party
12,K. M. Ranganathreddy,2305,200,0.2%,Samajwadi Party
13,Nazeer Hussain,2129,200,0.2%,Rashtriya Krantikari Samajwadi Party
14,Bharadwhaja,2089,200,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
15,Anojirao G,2012,200,0.2%,Independent
16,Ramesh Koti,1867,200,0.2%,Republican Party Of India (A)
