Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Raj Kumar Saini,418112,2400,36.8%,Bharatiya Janta Party
2,Balbir Singh Saini,288376,2400,25.4%,Indian National Lok Dal
3,Naveen Jindal,287722,2400,25.3%,Indian National Congress
4,Chattar Singh,68926,400,6.1%,Bahujan Samaj Party
5,Balwinder Kaur,32554,200,2.9%,Aam Aadmi Party
6,Raj Kumar Saini,6061,200,0.5%,Independent
7,Jasvinder Jasht Bhukhri,3887,200,0.3%,Independent
8,Ashwani Malhotra,3251,200,0.3%,All India Trinamool Congress
9,Chuni Manoj Kumar,2770,200,0.2%,Independent
10,Ranbir Singh Sharma,2765,200,0.2%,Independent
11,Rameshwar Kumar Saini,2344,200,0.2%,Bhartiya Shakti Chetna Party
12,Vishnu Bhagwan Aggarwal,2083,200,0.2%,Independent
13,Davinder Kumar,2041,200,0.2%,Independent
14,Master Dharampal Dhiman Brahaman,1994,200,0.2%,Independent
15,Kuldeep Singh Mallhi,1665,200,0.1%,Republican Party Of India
16,Ram Kishan,1635,200,0.1%,Lok Parivartan Party(DC)
17,Anil Kumar,1593,200,0.1%,Independent
18,Kanta Allaria,1534,200,0.1%,Indian Bahujan Sandesh Party (Kanshiram)
19,Onkar Singh,1483,200,0.1%,National Janhit Congress (AB)
20,Gurmeet Singh,1092,200,0.1%,Lok Dal
21,Kiran Pal,762,200,0.1%,Bharatiya Inqalab Party
22,Ca. Satish Singal,760,200,0.1%,Independent
