Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ram Charitra Nishad,438210,1014,43.9%,Bharatiya Janta Party
2,Bholanath Alias B.P. Saroj,266055,1014,26.7%,Bahujan Samaj Party
3,Tufani,191387,457,19.2%,Samajwadi Party
4,Tufani Nishad,36275,122,3.6%,Indian National Congress
5,Subas Chandra,18777,109,1.9%,Communist Party Of India
6,Raj Alias Virendra Kumar Sonkar,9223,91,0.9%,Aam Aadmi Party
7,Shravan Kumar Paswan,7833,91,0.8%,Independent
8,Harinath,5279,91,0.5%,Independent
9,Rajesh Sonkar,4362,91,0.4%,Independent
10,Omprakash Alias Ambedkar,2708,91,0.3%,Independent
11,Hari,2669,91,0.3%,Suheldev Bhartiya Samaj Party
12,Sikandar,2114,91,0.2%,Bahujan Mukti Party
13,Rajesh,1552,91,0.2%,Janata Dal (United)
14,Lalji,1543,91,0.2%,Bhartiya Shakti Chetna Party
15,Suresh Gautam,1467,91,0.1%,Adarsh Rashtriya Vikas Party
