Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Mulayam Singh Yadav,595918,222,59.6%,Samajwadi Party
2,Shatrughan Singh Chauhan,231252,222,23.1%,Bharatiya Janta Party
3,Dr. Sanghmitra Maurya,142833,135,14.3%,Bahujan Samaj Party
4,Alok Nandan,5645,60,0.6%,Independent
5,Baba Hardev Singh,5588,60,0.6%,Aam Aadmi Party
6,Mukesh Kumar Shakya,2542,60,0.3%,Independent
7,Hakim Singh,2279,60,0.2%,Independent
8,Abu Nasim Pathan,2095,60,0.2%,Peace Party
9,Rajeshwari,1746,60,0.2%,Independent
10,Mukesh Kumar,916,60,0.1%,Independent
11,Satendra Veer Singh Chauhan,872,60,0.1%,All India Forward Bloc
12,Ashok Kumar,695,60,0.1%,Independent
13,Shishupal Singh,561,60,0.1%,Bhartiya Shakti Chetna Party
