Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Abu Hasem Khan Chowdhury,380291,1200,34.8%,Indian National Congress
2,Bisnu Pada Roy,216180,1200,19.8%,Bharatiya Janta Party
3,Abul Hasnat Khan,209480,1200,19.2%,Communist Party Of India (MARXIST)
4,Md Moazzem Hossain,192632,1000,17.6%,All India Trinamool Congress
5,Md Najrul Islam,21207,200,1.9%,All India United Democratic Front
6,Imtiaz Ahmed Mollah,12952,200,1.2%,Social Democratic Party Of India
7,Manjur Alahi Munshi,11426,200,1.0%,Independent
8,Sadhan Chatterjee,10536,200,1.0%,Independent
9,Naresh Rishi,6616,200,0.6%,Independent
10,Nikhil Chandra Mandal,6138,200,0.6%,Bahujan Samaj Party
11,Md Ezaruddin,3377,200,0.3%,Jamat-E-Seratul Mustakim
12,Md Faruque Hossain (SAHITYARATNA),3282,200,0.3%,Indian Union Muslim League
13,Mursed Sekh,2720,200,0.2%,Republican Party Of India (A)
14,Nasmul Hoque,2466,200,0.2%,Party For Democratic Socialism
15,Bimal Mardi,1921,200,0.2%,Jharkhand Disom Party
16,Dipak Singh,1449,200,0.1%,Rashtriya Janadhikar Suraksha Party
17,Firoz Akhtar,1342,200,0.1%,Bahujan Mukti Party
