Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ch.Malla Reddy,523336,104224,32.3%,Telugu Desam
2,Hanumanth Rao Mynampally,494965,104224,30.5%,Telangana Rashtra Samithi
3,Sarvey Sathyanarayana,233711,767,14.4%,Indian National Congress
4,Dr.Jayaprakash Narayan .N,158243,432,9.8%,Lok Satta Party
5,V.Dinesh Reddy,115170,318,7.1%,Yuvajana Sramika Rythu Congress Party
6,Divakar Dharanikota Sudhakar,18543,151,1.1%,All India Majlis-E-Ittehadul Muslimoon
7,Prof. K.Nageshwar,13236,151,0.8%,Independent
8,Dr.N.V.Sudha Kiran,8291,139,0.5%,Aam Aadmi Party
9,Jajula Bhaskar,8003,139,0.5%,Shramajeevi Party
10,Karunakar.R,6133,139,0.4%,Bahujan Samaj Party
11,D.Bikshapathi,5717,139,0.4%,Independent
12,Bandi Sudhakar,4094,139,0.3%,Jai Samaikyandhra Party
13,Anjaneyulu.E,2677,139,0.2%,Independent
14,Kante Sayanna,2262,139,0.1%,Independent
15,Surakanti Venkat Reddy,2049,139,0.1%,Pyramid Party Of India
16,Dasari Bharath Reddy,1696,139,0.1%,Independent
17,Koyalkar Bhoj Raj,1546,139,0.1%,Independent
18,Gajabinkar Bansilal,1416,139,0.1%,Independent
19,Murari.T.N,1390,139,0.1%,Shiv Sena
20,Peesari Satish Reddy,1325,139,0.1%,Independent
21,M.Nageswara Rao,1301,139,0.1%,Independent
22,Vattikuti Ramarao Goud,1032,139,0.1%,Independent
23,M.T.Varughese,1026,139,0.1%,Independent
24,Rahul Pandit,899,139,0.1%,Independent
25,Paduri Srinivas Reddy,803,139,0.0%,Telangana Loksatta Party
26,B.Veera Hanumantha Reddy,775,139,0.0%,Independent
27,Sathyanarayana Yaadav Peddiboyina,597,139,0.0%,B.C.Bharata Desam Party
28,Sutharapu Padmaiah,538,139,0.0%,Andhra Pradesh Rashtra Samaikya Samithi Party
29,Polisetty Krishna Rao,496,139,0.0%,Independent
30,Potturi Tulasi Das,411,139,0.0%,Independent
