Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kaushal Kishore,455274,2000,40.8%,Bharatiya Janta Party
2,R.K Chaudhary,309858,2000,27.8%,Bahujan Samaj Party
3,Sushila Saroj,242366,800,21.7%,Samajwadi Party
4,Narendra Gautam,52598,200,4.7%,Indian National Congress
5,Sunil Gautam,10031,200,0.9%,Aam Aadmi Party
6,Mahesh Kumar,7412,200,0.7%,Independent
7,Reena Chaudhary,6304,200,0.6%,Independent
8,Amit Rawat,5115,200,0.5%,All India Trinamool Congress
9,Santosh Kumar Dharkar,4280,200,0.4%,Indian National League
10,Shatrohanlal Rawat,4214,200,0.4%,Independent
11,Meera Devi,2425,200,0.2%,Mahila Swabhiman Party
12,Gautam Bharti,2225,200,0.2%,Rashtriya Rashtrawadi Party
13,Gopal Kanaujiya,1826,200,0.2%,Republican Party Of India (A)
14,Meena Rawat,1782,200,0.2%,Naitik Party
15,Brijlal,1632,200,0.1%,Samtawadi Republican Party
16,Mahendra Kumar Rawat,1617,200,0.1%,Awami Samta Party
17,Jagdish Prasad Gautam,1494,200,0.1%,Manavtawadi Samaj Party
18,Om Prakash,1427,200,0.1%,Peace Party
