Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gajanan Chandrakant Kirtikar,464820,752,51.9%,Shiv Sena
2,Kamat Gurudas Vasant,281792,752,31.5%,Indian National Congress
3,Mahesh Waman Manjrekar,66088,118,7.4%,Maharashtra Navnirman Sena
4,Mayank Ramesh Gandhi,51860,109,5.8%,Aam Aadmi Party
5,Bhole Pushpa Milind,10275,73,1.1%,Bahujan Samaj Party
6,Rakhi Sawant,2006,73,0.2%,Rashtriya Aam Party
7,Rina Mahendrakumar Zaveri,1530,73,0.2%,Independent
8,Sonkamble Gajanan Tukaram,1366,73,0.2%,Independent
9,Mangesh Madhukar Humne,1082,73,0.1%,Bahujan Mukti Party
10,Nitin H. Khare,1078,73,0.1%,Independent
11,Pravin Chandrakant Kaurpuriya,888,73,0.1%,Hindustan Swaraj Congress Party
12,Mohan Galvankar,694,73,0.1%,The Lok Party Of India
13,Pratik Prabhakar Toraskar,515,73,0.1%,Independent
14,Vijayanand Shankarrao Shinde,514,73,0.1%,Hindusthan Nirman Dal
