Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Badaruddoza Khan,426947,144000,33.2%,Communist Party Of India (MARXIST)
2,Abdul Mannan Hossain,408494,144000,31.7%,Indian National Congress
3,Ali Mohammad,289027,2400,22.4%,All India Trinamool Congress
4,Sujit Kumar Ghosh,101069,400,7.8%,Bharatiya Janta Party
5,Md. Najmul Hoque,11333,200,0.9%,All India United Democratic Front
6,Kamarujjaman Khandekar(BAKUL),8378,200,0.7%,Socialist Unity Centre Of India (COMMUNIST)
7,Md. Khodabox Sekh,6445,200,0.5%,Welfare Party Of India
8,Masudul Islam,6010,200,0.5%,Social Democratic Party Of India
9,Jitendra Nath Halder,5722,200,0.4%,Bahujan Samaj Party
10,Abdul Bari,5383,200,0.4%,Indian Union Muslim League
11,Asim Kumar Das,4539,200,0.4%,Independent
12,Swapan Kumar Mandal,4260,200,0.3%,Amra Bangalee
