Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhagat Singh Koshyari,636769,600,57.8%,Bharatiya Janta Party
2,K.C.Singh Baba,352052,600,32.0%,Indian National Congress
3,Laik Ahmed,59245,200,5.4%,Bahujan Samaj Party
4,Balli Singh Cheema,13472,200,1.2%,Aam Aadmi Party
5,Avtar Singh,9825,200,0.9%,Samajwadi Party
6,D.S.Rawal,3392,200,0.3%,Bharat Ki Lok Jimmedar Party
7,Bhuwan Chandra Joshi,3180,200,0.3%,Independent
8,Sheeshpalarya,2706,200,0.2%,Ambedkar National Congress
9,Shakil Ahmed,2529,200,0.2%,Independent
10,Bhagwan Swaroop,1869,200,0.2%,Independent
11,Kailash Chandra,1635,200,0.1%,Independent
12,Kailash Pandey,1530,200,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
13,Ram Singh,1064,200,0.1%,Peace Party
14,Asharam Kashyap,1037,200,0.1%,Rashtriya Mahan Gantantra Party
15,Khashti Suyal,802,200,0.1%,Bhartiya Chaitanya Party
