Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sambasiva Rao Rayapati,632464,46503,49.3%,Telugu Desam
2,Ayodhya Ramireddy Alla,597184,46503,46.6%,Yuvajana Sramika Rythu Congress Party
3,Kondapalli Venkateswarlu,22943,85,1.8%,Indian National Congress
4,Akki Reddy Bhimanadula,7032,77,0.5%,Pyramid Party Of India
5,Yeluri Srilatha,5142,77,0.4%,Jai Samaikyandhra Party
6,Mekala Hanumantha Rao Yadav,4911,77,0.4%,Bahujan Samaj Party
7,Rosaiah Sivaparapu,1877,77,0.1%,Marxist Communist Party Of India (United)
8,Kanumuri Koteswara Rao,1404,77,0.1%,Independent
9,Paruvuri Ramesh,1118,77,0.1%,Independent
10,Ravu Subrahmanyam,1025,77,0.1%,Independent
11,Jangala Singaraiah Yadav,973,77,0.1%,Independent
