Position,Candidate Name,Votes,MinSample,Votes %,Party
1,P P Choudhary,711772,229,65.0%,Bharatiya Janta Party
2,Munni Devi Godara,312733,229,28.5%,Indian National Congress
3,Bhojraj,16469,54,1.5%,Bahujan Samaj Party
4,Jagdish,7186,54,0.7%,Bahujan Mukti Party
5,Dr. Ramlal Mohbarsha,5794,54,0.5%,Independent
6,Sher Singh Safa,5198,54,0.5%,Independent
7,Mahesh Bhandari,5031,54,0.5%,Aam Aadmi Party
8,Om Prakash Mali,3306,54,0.3%,Independent
9,Shobharam Mali,2825,54,0.3%,Jai Maha Bharath Party
10,Dinesh Mev,2358,54,0.2%,Independent
11,Udaram,2058,54,0.2%,Independent
12,Kanhaiyalal Pareek,1890,54,0.2%,Independent
13,Dev Kishan Dehiya,1264,54,0.1%,Megh Desham Party
