Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Balka Suman,565496,383,55.3%,Telangana Rashtra Samithi
2,G. Vivekanand,274338,383,26.8%,Indian National Congress
3,Dr.Janapati Sarat Babu,63334,101,6.2%,Telugu Desam
4,Velthuru Mallaiah,45977,87,4.5%,Republican Paksha (Khoripa)
5,Tagaram Shankar Lal,9449,69,0.9%,Bahujan Samaj Party
6,Kalvala Shankar,9290,69,0.9%,Pyramid Party Of India
7,Jinna Ramadevi,9199,69,0.9%,Independent
8,Kalvala Sanjeev,8609,69,0.8%,Republican Party Of India
9,Bupelli Narayana,7258,69,0.7%,Independent
10,Venkata Swamy Injam,3866,69,0.4%,Mahajana Socialist Party
11,Thallapalli Srinivas,3699,69,0.4%,Independent
12,Gaddala Vinay Kumar,3266,69,0.3%,Independent
13,J.V. Raju,3020,69,0.3%,New India Party
14,Kamilla Jaya Rao,2742,69,0.3%,Independent
15,Moutam Ravinder,2674,69,0.3%,Independent
16,Gorre Ramesh,2361,69,0.2%,Independent
17,Botha Venkata Mallaiah,2245,69,0.2%,B. C. United Front
