Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kuwar Harivansh Singh,375789,813,42.0%,Apna Dal
2,Asif Nizamuddin Siddique,207567,813,23.2%,Bahujan Samaj Party
3,Rajkumari Ratna Singh,138620,368,15.5%,Indian National Congress
4,Pramod Kumar Singh Patel,120107,302,13.4%,Samajwadi Party
5,Ashok Shukla  Senani,9983,107,1.1%,Aam Aadmi Party
6,Santosh Kumar Singh,6309,97,0.7%,All India Trinamool Congress
7,Harivansh,5618,95,0.6%,Independent
8,Ram Sewak,4207,95,0.5%,Bahujan Mukti Party
9,Ajmal Khan,3342,95,0.4%,Independent
10,Kiran Mishra,3002,95,0.3%,Independent
11,Nirmala Devi,2766,95,0.3%,Bhartiya Vanchitsamaj Party
12,Sheshnath,2458,95,0.3%,Socialist Unity Centre Of India (COMMUNIST)
13,Bal Krishna,2160,95,0.2%,Janata Dal (United)
14,Foolchandra,1859,95,0.2%,Shiv Sena
15,Rajendra Sharma,1571,95,0.2%,Rashtriya Janshanti Party
