Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anant Geete,396178,868732,40.1%,Shiv Sena
2,Tatkare Sunil Dattatrey,394068,868732,39.9%,Nationalist Congress Party
3,Rameshbhai Kadam,129730,323,13.1%,Peasants And Workers Party Of India
4,Yashwant Jayram Gaikwad,10510,108,1.1%,Bahujan Samaj Party
5,Muzzafar Jainuddin Chaudhari Alias Modi,9952,108,1.0%,Independent
6,Sunil Tatkare,9849,108,1.0%,Independent
7,Dr. Aparanti Sanjay Yashwant,6759,98,0.7%,Aam Aadmi Party
8,Sandeep Pandurang Parte,4287,98,0.4%,Hindustan Janata Party
9,Dr. Ghone Adesh Yashawant,3308,98,0.3%,Bahujan Mukti Party
10,Aziz Abdul Kadir Mukadam,2763,98,0.3%,Samajwadi Party
