Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anwhar Raajhaa.A,405945,2262,40.6%,All India Anna Dravida Munnetra Kazhagam
2,Mohamed Jaleel .S,286621,2262,28.6%,Dravida Munetra Kazhagam
3,Kuppuramu .D,171082,503,17.1%,Bharatiya Janta Party
4,Thirunnavukkarasar .Su,62160,184,6.2%,Indian National Congress
5,Noor Jiyavudeen.M.I,12541,116,1.3%,Social Democratic Party Of India
6,Uma Mageswari R.T.,12312,116,1.2%,Communist Party Of India
7,Arasakumar B.T.,10945,116,1.1%,Desiya Forward Bloc
8,Gopal .R,3969,106,0.4%,Independent
9,Gokila .K,3471,106,0.3%,Independent
10,Annamalai .S,3125,106,0.3%,Independent
11,Manivasagam,2684,106,0.3%,Independent
12,Sivagurunathan .K,2123,106,0.2%,Bahujan Samaj Party
13,Kasirajan .N,1415,106,0.1%,Independent
14,Palpandi .C,1355,106,0.1%,Independent
15,Thennarasu .P,1321,106,0.1%,Independent
16,Sasi Kumar .S,1220,106,0.1%,Independent
17,Balakrishnan .S.S.,1171,106,0.1%,Independent
18,Sathiah .G,1129,106,0.1%,Independent
19,Thiagarajan .R,1037,106,0.1%,Independent
20,Kannathasan .R,999,106,0.1%,Independent
21,Periyasamy .P,985,106,0.1%,Independent
22,Amirthalingam .U,941,106,0.1%,Independent
23,Vetrivel .S,914,106,0.1%,Independent
24,Azhagu Meena .A,835,106,0.1%,Independent
25,Murugeswari,814,106,0.1%,Independent
26,Ayyappan .S,785,106,0.1%,Independent
27,Allapichai .E,747,106,0.1%,Independent
28,Subbiah .M,645,106,0.1%,Independent
29,Velchsamy .R,577,106,0.1%,Independent
30,Ravi .K,478,106,0.0%,Independent
31,Mookaiya .S,423,106,0.0%,Independent
