Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Krishna Raj,525132,687,46.5%,Bharatiya Janta Party
2,Umed Singh Kashyap,289603,687,25.6%,Bahujan Samaj Party
3,Mithilesh Kumar,242913,455,21.5%,Samajwadi Party
4,Chetram,27011,101,2.4%,Indian National Congress
5,Sunita Sujata Nagpal,12945,92,1.1%,Peace Party
6,Roshan Lal Alias Roshan Kanaujiya,7871,84,0.7%,Independent
7,Smt Reeta Singh Alias Reeta Bharti,3610,84,0.3%,Aam Aadmi Party
8,Kishan Lal,2790,84,0.2%,Lok Dal
9,Rakesh,2522,84,0.2%,Independent
10,Ramlal Verma,1613,84,0.1%,Bahujan Mukti Party
11,Rammurti,1384,84,0.1%,Bhartiya Krishak Dal
12,Pyare Alias Rajkumar Gautam,1378,84,0.1%,Vanchitsamaj Insaaf Party
13,Mevaram,1105,84,0.1%,Naitik Party
