Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rama Devi,372506,1200,44.2%,Bharatiya Janta Party
2,Md Anwarul Haque,236267,1200,28.0%,Rashtriya Janata Dal
3,Shahid Ali Khan,79108,200,9.4%,Janata Dal (United)
4,Lovely Anand,46008,200,5.5%,Samajwadi Party
5,Angesh Kumar,26446,200,3.1%,Bahujan Samaj Party
6,Laxman Paswan,18681,200,2.2%,Jharkhand Mukti Morcha
7,Shivanandan Prasad,12161,200,1.4%,Independent
8,Shatrughna Sahu,8256,200,1.0%,Aam Aadmi Party
9,Sanjay Prasad,8245,200,1.0%,Independent
10,Ramashish Mahto,5941,200,0.7%,Independent
11,Jata Shankar Aatrey,4641,200,0.6%,Rajnaitik Vikalp Party
12,Jagranath Sahani,4399,200,0.5%,Sarvajan Kalyan Loktantrik Party
13,Md Nasruddin Ansari,3072,200,0.4%,National Lokmat Party
14,Ramashankar Singh,2845,200,0.3%,All India Forward Bloc
15,Ram Lobhit Paswan,2648,200,0.3%,Bahujan Mukti Party
