Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Senthilnathan Pr,475993,615,46.3%,All India Anna Dravida Munnetra Kazhagam
2,Dhurai Raaj Subha,246608,615,24.0%,Dravida Munetra Kazhagam
3,Raja H,133763,245,13.0%,Bharatiya Janta Party
4,Karti P Chidambaram,104678,191,10.2%,Indian National Congress
5,Krishnan S,20473,105,2.0%,Communist Party Of India
6,Rajasekar.S @ S.R.Thevar,4029,88,0.4%,Desiya Forward Bloc
7,Rakkamuthu V,3056,88,0.3%,Bahujan Samaj Party
8,Velladhurai A,3023,88,0.3%,Ezhuchi Tamilargal Munnetra Kazhagam
9,Arimazham Thiyagi Subramanian Muthuraja M,3021,88,0.3%,Independent
10,Nelson A,2987,88,0.3%,Independent
11,Balu S,2196,88,0.2%,Tamil Nadu Makkal Congress
12,Thamilarima S,2131,88,0.2%,Aam Aadmi Party
13,Saravanan M,2100,88,0.2%,Independent
14,Selvaraj A,2050,88,0.2%,Independent
15,Palani S,1699,88,0.2%,Independent
16,Kalaimani K,1438,88,0.1%,Makkal Manadu Katchi
17,Raja A,1337,88,0.1%,Independent
18,Gunasekaran P,1269,88,0.1%,Independent
19,Sivagnanam Al,1007,88,0.1%,Independent
20,Balakrishnan P,949,88,0.1%,Independent
21,Karthikarajan T,873,88,0.1%,Independent
22,Periyakaruppan S,837,88,0.1%,Independent
23,Natchiappan Sp,794,88,0.1%,Independent
24,Lenin M,741,88,0.1%,Independent
25,Murugan P,736,88,0.1%,Independent
26,Radhakrishnan A,641,88,0.1%,Independent
27,Megaraj Mallar,565,88,0.1%,Independent
