Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Tariq Hameed Karra,157923,1800,50.6%,Jammu & Kashmir Peoples Democratic Party
2,Farooq Abdullah,115643,1800,37.0%,Jammu & Kashmir National Conference
3,Aga Syed Mohsin,16050,200,5.1%,Independent
4,Fayaz Ahmad Bhat,4467,200,1.4%,Bharatiya Janta Party
5,Dr Raja Muzaffar Bhat,3271,200,1.0%,Aam Aadmi Party
6,Mirza Sajad Hussain Beigh,2802,200,0.9%,Independent
7,Abdul Rashid Tantray,1668,200,0.5%,Independent
8,Bashir Mohd Reshi,1215,200,0.4%,Independent
9,Mohammad Shafi Guroo,1157,200,0.4%,Independent
10,Rabia Altaf,864,200,0.3%,Independent
11,Chetan Sharma,608,200,0.2%,Independent
12,Mohammad Maqbool Malik,583,200,0.2%,J & K National Panthers Party
13,Mushtaq Shamim,521,200,0.2%,Akhil Bharatiya Muslim League  (Secular)
14,Riyaz Ahmad Wani,461,200,0.1%,Independent
