Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ranjeet Ranjan,332927,7800,34.3%,Indian National Congress
2,Dileshwar Kamait,273255,7800,28.2%,Janata Dal (United)
3,Kameshwar Chaupal,249693,4000,25.7%,Bharatiya Janta Party
4,Aman Kumar Samajsevi,21233,200,2.2%,Bahujan Samaj Party
5,Suresh Kumar Azad,14754,200,1.5%,Jai Hind Party
6,Jay Narayan Yadav,11566,200,1.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Ramdev Sharma,10687,200,1.1%,Independent
8,Parmeshwar Jha,9604,200,1.0%,Aam Aadmi Party
9,Binod Kumar Sahu,8908,200,0.9%,Independent
10,Shakaldev Mandal,5964,200,0.6%,Samajwadi Janata Party (RASHTRIYA)
11,Mohammad Amanullah,5116,200,0.5%,Indian Union Muslim League
12,Dev Narayan Yadav,4825,200,0.5%,Bahujan Mukti Party
