Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Parasuraman.K,510307,1586,50.4%,All India Anna Dravida Munnetra Kazhagam
2,Baalu.T.R,366188,1586,36.2%,Dravida Munetra Kazhagam
3,Muruganantham.M,58521,112,5.8%,Bharatiya Janta Party
4,Krishnasamy Vandayar.T,30232,91,3.0%,Indian National Congress
5,Tamilselvi.S,23215,83,2.3%,Communist Party Of India (MARXIST)
6,Mummoorthi.S@s.M.Moorthy,2511,75,0.2%,Namadhu Makkal Katchi
7,Arangarajan.M,2253,75,0.2%,Bahujan Samaj Party
8,Panasai Arangan.N,1830,75,0.2%,Independent
9,Sivakumar.V,1511,75,0.1%,Independent
10,Rajkumar.R,1409,75,0.1%,Independent
11,Madhavan.T,1169,75,0.1%,Independent
12,Gunasekaran.T,894,75,0.1%,Independent
