Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Virendra Kumar,422979,600,55.2%,Bharatiya Janta Party
2,Ahirwar Dr. Kamlesh Verma,214248,600,28.0%,Indian National Congress
3,Dr. Ambesh Kumari Ahirwar,47497,200,6.2%,Samajwadi Party
4,Ahirwar Sewak Ram,23975,200,3.1%,Bahujan Samaj Party
5,Khangar Neeraj,15194,200,2.0%,Communist Party Of India
6,Girdhari Lal Kori,5219,200,0.7%,Independent
7,Ramesh Chand Verma,4992,200,0.7%,Aam Aadmi Party
8,Lakhan Lal Chadhar,4548,200,0.6%,Independent
9,Bhagwan Das Banshkar,4400,200,0.6%,Independent
10,Chaturbhuj Snehi,4035,200,0.5%,Independent
11,Sheel Chandra Ahirwar,3855,200,0.5%,Independent
12,Ahirwar Ramcharan,3094,200,0.4%,Poorvanchal Rashtriya Congress
13,Ganesh Kumhar,2230,200,0.3%,Independent
