Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sultan Ahmed,570785,1200,48.1%,All India Trinamool Congress
2,Sabir Uddin Molla,369563,1200,31.2%,Communist Party Of India (MARXIST)
3,Ranjit Kishore Mohanty,137137,200,11.6%,Bharatiya Janta Party
4,Asit Mitra,67826,200,5.7%,Indian National Congress
5,Abul Qasem,6607,200,0.6%,Indian Unity Centre
6,Hasan Nawaj,5709,200,0.5%,All India United Democratic Front
7,Dilip Kumar Hait,3947,200,0.3%,Independent
8,Rekha Das,3918,200,0.3%,Bahujan Samaj Party
9,Susanta Kumar Dalui,2990,200,0.3%,Independent
10,Minati Sarkar,2902,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
11,Ramesh Dhara,2529,200,0.2%,Independent
12,Ashis Kumar Das,2437,200,0.2%,Independent
13,Sujata Dutta,1400,200,0.1%,Bahujan Mukti Party
