Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rajendran S,482704,944,45.2%,All India Anna Dravida Munnetra Kazhagam
2,Muthaiyan K Dr,289337,944,27.1%,Dravida Munetra Kazhagam
3,Umasankar K,209663,436,19.6%,Desiya Murpokku Dravida Kazhagam
4,Rani K,21461,106,2.0%,Indian National Congress
5,Anandan G,17408,99,1.6%,Communist Party Of India (MARXIST)
6,Muthaiyan N,4780,88,0.4%,Independent
7,Venkatesan M,3906,88,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Devi S,3443,88,0.3%,Independent
9,Kadrvel M,3430,88,0.3%,Independent
10,Venkatesan S,2798,88,0.3%,Independent
11,Karunsiruthai Kaliyamurthi G,2683,88,0.3%,Bahujan Samaj Party
12,Ramesh A,2663,88,0.2%,Independent
13,Elumalai D,2337,88,0.2%,Independent
14,Srinivasan K,2294,88,0.2%,Independent
15,Muthiyan,1774,88,0.2%,Independent
16,Desingu K,1607,88,0.2%,Independent
17,Umasankar M,1212,88,0.1%,Independent
18,Rajamanickam K,1197,88,0.1%,Independent
19,Arasan K,811,88,0.1%,Independent
20,Arumugam R,693,88,0.1%,Independent
