x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Harin Pathak,1400,"301,853",55.0%,Bharatiya Janta Party, AC View
2,2,Gupta Rajkumar Gigraj,1400,"224,248",40.9%,Indian National Congress, AC View
3,3,Dr. Rathod Mangalam Virambhai,200,"7,889",1.4%,Bahujan Samaj Party, AC View
4,4,Shaikh Samsuddin Nashiruddin (JUGNU),200,"5,411",1.0%,Independent, AC View
5,5,"Ambalal Mafatlal Chauhan (ARJUNSINH CHAUHAN, IPS RETD.)",200,"2,725",0.5%,Janata Dal (United), AC View
6,6,Nayak Sanjude Kalade Pavaiya,200,"1,850",0.3%,Independent, AC View
7,7,Dr. Pravinchandra Jayantilal Shukla,200,"1,292",0.2%,Independent, AC View
8,8,Farmer Jayanand Davidbhai,200,"1,237",0.2%,Independent, AC View
9,9,Minaxi Chandubhai Khetani (NITA C. KHETANI),200,"1,188",0.2%,Samajwadi Party, AC View
10,10,Ujainwala Noormohammad Daudji (NOORBHAI CHHIPA),200,866,0.2%,Independent, AC View
